,country,year,gender,age,suicides_no,population,suicides/100k pop,GdpForYear,GdpPerCapita,generation,all_population,country_id
0,Albania,1987,male,15-24 years,21.0,312900,6.71,"2,15,66,24,900",796.0,Generation X,2709600,1
1,Albania,1987,male,35-54 years,16.0,308000,5.19,"2,15,66,24,900",796.0,Silent,2709600,1
2,Albania,1987,female,15-24 years,14.0,289700,4.83,"2,15,66,24,900",796.0,Generation X,2709600,1
3,Albania,1987,male,75+ years,1.0,21800,4.59,"2,15,66,24,900",796.0,G.I. Generation,2709600,1
4,Albania,1987,male,25-34 years,9.0,274300,3.28,"2,15,66,24,900",796.0,Boomers,2709600,1
5,Albania,1987,female,75+ years,1.0,35600,2.81,"2,15,66,24,900",796.0,G.I. Generation,2709600,1
6,Albania,1987,female,35-54 years,6.0,278800,2.15,"2,15,66,24,900",796.0,Silent,2709600,1
7,Albania,1987,female,25-34 years,4.0,257200,1.56,"2,15,66,24,900",796.0,Boomers,2709600,1
8,Albania,1987,male,55-74 years,1.0,137500,0.73,"2,15,66,24,900",796.0,G.I. Generation,2709600,1
9,Albania,1987,female,5-14 years,0.0,311000,0.0,"2,15,66,24,900",796.0,Generation X,2709600,1
10,Albania,1987,female,55-74 years,0.0,144600,0.0,"2,15,66,24,900",796.0,G.I. Generation,2709600,1
11,Albania,1987,male,5-14 years,0.0,338200,0.0,"2,15,66,24,900",796.0,Generation X,2709600,1
12,Albania,1988,female,75+ years,2.0,36400,5.49,"2,12,60,00,000",769.0,G.I. Generation,2764300,1
13,Albania,1988,male,15-24 years,17.0,319200,5.33,"2,12,60,00,000",769.0,Generation X,2764300,1
14,Albania,1988,male,75+ years,1.0,22300,4.48,"2,12,60,00,000",769.0,G.I. Generation,2764300,1
15,Albania,1988,male,35-54 years,14.0,314100,4.46,"2,12,60,00,000",769.0,Silent,2764300,1
16,Albania,1988,male,55-74 years,4.0,140200,2.85,"2,12,60,00,000",769.0,G.I. Generation,2764300,1
17,Albania,1988,female,15-24 years,8.0,295600,2.71,"2,12,60,00,000",769.0,Generation X,2764300,1
18,Albania,1988,female,55-74 years,3.0,147500,2.03,"2,12,60,00,000",769.0,G.I. Generation,2764300,1
19,Albania,1988,female,25-34 years,5.0,262400,1.91,"2,12,60,00,000",769.0,Boomers,2764300,1
20,Albania,1988,male,25-34 years,5.0,279900,1.79,"2,12,60,00,000",769.0,Boomers,2764300,1
21,Albania,1988,female,35-54 years,4.0,284500,1.41,"2,12,60,00,000",769.0,Silent,2764300,1
22,Albania,1988,female,5-14 years,0.0,317200,0.0,"2,12,60,00,000",769.0,Generation X,2764300,1
23,Albania,1988,male,5-14 years,0.0,345000,0.0,"2,12,60,00,000",769.0,Generation X,2764300,1
24,Albania,1989,male,75+ years,2.0,22500,8.89,"2,33,51,24,988",833.0,G.I. Generation,2803100,1
25,Albania,1989,male,25-34 years,18.0,283600,6.35,"2,33,51,24,988",833.0,Boomers,2803100,1
26,Albania,1989,male,35-54 years,15.0,318400,4.71,"2,33,51,24,988",833.0,Silent,2803100,1
27,Albania,1989,male,55-74 years,6.0,142100,4.22,"2,33,51,24,988",833.0,G.I. Generation,2803100,1
28,Albania,1989,male,15-24 years,12.0,323500,3.71,"2,33,51,24,988",833.0,Generation X,2803100,1
29,Albania,1989,female,35-54 years,7.0,288600,2.43,"2,33,51,24,988",833.0,Silent,2803100,1
30,Albania,1989,female,15-24 years,5.0,299900,1.67,"2,33,51,24,988",833.0,Generation X,2803100,1
31,Albania,1989,female,25-34 years,2.0,266300,0.75,"2,33,51,24,988",833.0,Boomers,2803100,1
32,Albania,1989,female,55-74 years,1.0,149600,0.67,"2,33,51,24,988",833.0,G.I. Generation,2803100,1
33,Albania,1989,female,5-14 years,0.0,321900,0.0,"2,33,51,24,988",833.0,Generation X,2803100,1
34,Albania,1989,female,75+ years,0.0,37000,0.0,"2,33,51,24,988",833.0,G.I. Generation,2803100,1
35,Albania,1989,male,5-14 years,0.0,349700,0.0,"2,33,51,24,988",833.0,Generation X,2803100,1
36,Albania,1992,male,35-54 years,12.0,343800,3.49,"70,94,52,584",251.0,Boomers,2822500,1
37,Albania,1992,male,15-24 years,9.0,263700,3.41,"70,94,52,584",251.0,Generation X,2822500,1
38,Albania,1992,male,55-74 years,5.0,159500,3.13,"70,94,52,584",251.0,Silent,2822500,1
39,Albania,1992,male,25-34 years,7.0,245500,2.85,"70,94,52,584",251.0,Boomers,2822500,1
40,Albania,1992,female,15-24 years,7.0,292400,2.39,"70,94,52,584",251.0,Generation X,2822500,1
41,Albania,1992,female,25-34 years,4.0,267400,1.5,"70,94,52,584",251.0,Boomers,2822500,1
42,Albania,1992,female,35-54 years,2.0,323100,0.62,"70,94,52,584",251.0,Boomers,2822500,1
43,Albania,1992,female,55-74 years,1.0,164900,0.61,"70,94,52,584",251.0,Silent,2822500,1
44,Albania,1992,female,5-14 years,0.0,336700,0.0,"70,94,52,584",251.0,Millenials,2822500,1
45,Albania,1992,female,75+ years,0.0,38700,0.0,"70,94,52,584",251.0,G.I. Generation,2822500,1
46,Albania,1992,male,5-14 years,0.0,362900,0.0,"70,94,52,584",251.0,Millenials,2822500,1
47,Albania,1992,male,75+ years,0.0,23900,0.0,"70,94,52,584",251.0,G.I. Generation,2822500,1
48,Albania,1993,male,15-24 years,18.0,243300,7.4,"1,22,80,71,038",437.0,Generation X,2807300,1
49,Albania,1993,male,55-74 years,7.0,165000,4.24,"1,22,80,71,038",437.0,Silent,2807300,1
50,Albania,1993,male,75+ years,1.0,24200,4.13,"1,22,80,71,038",437.0,G.I. Generation,2807300,1
51,Albania,1993,male,25-34 years,9.0,230100,3.91,"1,22,80,71,038",437.0,Boomers,2807300,1
52,Albania,1993,female,15-24 years,10.0,285300,3.51,"1,22,80,71,038",437.0,Generation X,2807300,1
53,Albania,1993,male,35-54 years,10.0,350300,2.85,"1,22,80,71,038",437.0,Boomers,2807300,1
54,Albania,1993,female,25-34 years,7.0,261800,2.67,"1,22,80,71,038",437.0,Boomers,2807300,1
55,Albania,1993,female,35-54 years,7.0,331200,2.11,"1,22,80,71,038",437.0,Boomers,2807300,1
